numero_experimento;dataset;estructura_de_datos;cantidad_consultas;tiempo_ejecucion_us
5;auspol2019;Cerrado_Doble;70000;841
5;auspol2019;Cerrado_Doble;80000;977
5;auspol2019;Cerrado_Doble;90000;1091
5;auspol2019;Cerrado_Doble;100000;1207
5;auspol2019;Cerrado_Doble;110000;1319
5;auspol2019;Cerrado_Doble;120000;1433
5;auspol2019;Cerrado_Doble;130000;1542
5;auspol2019;Cerrado_Doble;140000;1647
5;auspol2019;Cerrado_Doble;150000;1779
5;auspol2019;Cerrado_Doble;160000;1963
5;auspol2019;Cerrado_Doble;170000;2130
5;auspol2019;Cerrado_Doble;180000;2267
5;auspol2019;STL_UnorderedMap;10000;131
5;auspol2019;STL_UnorderedMap;20000;265
5;auspol2019;STL_UnorderedMap;30000;392
5;auspol2019;STL_UnorderedMap;40000;485
5;auspol2019;STL_UnorderedMap;50000;576
5;auspol2019;STL_UnorderedMap;60000;672
5;auspol2019;STL_UnorderedMap;70000;755
5;auspol2019;STL_UnorderedMap;80000;841
5;auspol2019;STL_UnorderedMap;90000;907
5;auspol2019;STL_UnorderedMap;100000;968
5;auspol2019;STL_UnorderedMap;110000;1068
5;auspol2019;STL_UnorderedMap;120000;1134
5;auspol2019;STL_UnorderedMap;130000;1189
5;auspol2019;STL_UnorderedMap;140000;1239
5;auspol2019;STL_UnorderedMap;150000;1317
5;auspol2019;STL_UnorderedMap;160000;1439
5;auspol2019;STL_UnorderedMap;170000;1525
5;auspol2019;STL_UnorderedMap;180000;1593
6;auspol2019;Hash_Abierto;10000;129
6;auspol2019;Hash_Abierto;20000;284
6;auspol2019;Hash_Abierto;30000;411
6;auspol2019;Hash_Abierto;40000;517
6;auspol2019;Hash_Abierto;50000;621
6;auspol2019;Hash_Abierto;60000;735
6;auspol2019;Hash_Abierto;70000;838
6;auspol2019;Hash_Abierto;80000;946
6;auspol2019;Hash_Abierto;90000;1030
6;auspol2019;Hash_Abierto;100000;1111
6;auspol2019;Hash_Abierto;110000;1186
6;auspol2019;Hash_Abierto;120000;1273
6;auspol2019;Hash_Abierto;130000;1346
6;auspol2019;Hash_Abierto;140000;1413
6;auspol2019;Hash_Abierto;150000;1511
6;auspol2019;Hash_Abierto;160000;1644
6;auspol2019;Hash_Abierto;170000;1758
6;auspol2019;Hash_Abierto;180000;1847
6;auspol2019;Cerrado_Lineal;10000;70
6;auspol2019;Cerrado_Lineal;20000;175
6;auspol2019;Cerrado_Lineal;30000;298
6;auspol2019;Cerrado_Lineal;40000;406
6;auspol2019;Cerrado_Lineal;50000;515
6;auspol2019;Cerrado_Lineal;60000;639
6;auspol2019;Cerrado_Lineal;70000;759
6;auspol2019;Cerrado_Lineal;80000;882
6;auspol2019;Cerrado_Lineal;90000;982
6;auspol2019;Cerrado_Lineal;100000;1083
6;auspol2019;Cerrado_Lineal;110000;1180
6;auspol2019;Cerrado_Lineal;120000;1278
6;auspol2019;Cerrado_Lineal;130000;1372
